"age","workclass","education","maritalstatus","occupation","relationship","race","sex","capitalgain","capitalloss","hoursperweek","over50k"
32," Self-emp-not-inc"," Doctorate"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," <=50K"
27," ?"," Assoc-voc"," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,20," <=50K"
47," Private"," Some-college"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," <=50K"
67," Private"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,24," <=50K"
52," Self-emp-inc"," Bachelors"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," <=50K"
42," Private"," HS-grad"," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,30," <=50K"
69," ?"," Prof-school"," Divorced"," ?"," Not-in-family"," White"," Male",0,0,5," <=50K"
58," Local-gov"," 1st-4th"," Widowed"," Handlers-cleaners"," Unmarried"," Black"," Male",0,0,40," <=50K"
21," Private"," Assoc-voc"," Never-married"," Tech-support"," Own-child"," White"," Female",0,0,30," <=50K"
20," Private"," HS-grad"," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,45," <=50K"
22," Private"," Some-college"," Never-married"," Adm-clerical"," Other-relative"," Black"," Male",0,0,22," <=50K"
47," Federal-gov"," Doctorate"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," >50K"
40," Private"," Some-college"," Married-civ-spouse"," Machine-op-inspct"," Husband"," Other"," Male",0,0,40," >50K"
34," Private"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," <=50K"
23," Private"," HS-grad"," Never-married"," Handlers-cleaners"," Own-child"," White"," Female",0,0,30," <=50K"
44," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," <=50K"
31," Private"," HS-grad"," Married-spouse-absent"," Priv-house-serv"," Other-relative"," Black"," Female",0,0,60," <=50K"
37," Private"," Some-college"," Separated"," Handlers-cleaners"," Not-in-family"," Black"," Male",0,0,35," <=50K"
63," Private"," 11th"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,22," <=50K"
46," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," Amer-Indian-Eskimo"," Male",0,0,40," <=50K"
31," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," Asian-Pac-Islander"," Male",0,0,40," <=50K"
33," Local-gov"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," Amer-Indian-Eskimo"," Male",0,0,60," <=50K"
38," Private"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," <=50K"
24," Private"," HS-grad"," Never-married"," Sales"," Own-child"," White"," Male",0,0,35," <=50K"
41," Private"," Assoc-acdm"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," <=50K"
25," Private"," 10th"," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,0,40," <=50K"
19," Private"," Some-college"," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," <=50K"
27," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," Black"," Female",0,0,40," <=50K"
63," Self-emp-not-inc"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," >50K"
60," Private"," HS-grad"," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,1092,40," <=50K"
48," Local-gov"," Prof-school"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," >50K"
29," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," <=50K"
17," ?"," HS-grad"," Never-married"," ?"," Own-child"," Black"," Male",0,0,40," <=50K"
49," Federal-gov"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," >50K"
29," Private"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,45," <=50K"
43," Private"," Some-college"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,60," >50K"
51," Self-emp-inc"," Bachelors"," Married-civ-spouse"," Protective-serv"," Husband"," Black"," Male",0,0,40," >50K"
21," Private"," Assoc-acdm"," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,25," <=50K"
45," Private"," HS-grad"," Widowed"," Sales"," Unmarried"," White"," Female",0,0,45," <=50K"
18," Private"," HS-grad"," Never-married"," Sales"," Own-child"," Asian-Pac-Islander"," Female",0,0,40," <=50K"
63," Private"," 10th"," Widowed"," Other-service"," Not-in-family"," White"," Female",0,0,31," <=50K"
34," Private"," Bachelors"," Never-married"," Exec-managerial"," Other-relative"," White"," Female",0,1741,45," <=50K"
63," ?"," Bachelors"," Widowed"," ?"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,56," <=50K"
47," Private"," Assoc-acdm"," Married-civ-spouse"," Prof-specialty"," Wife"," Black"," Female",15024,0,40," >50K"
58," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,60," <=50K"
30," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",3103,0,60," >50K"
88," Self-emp-not-inc"," Prof-school"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," <=50K"
26," Private"," Assoc-voc"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,80," <=50K"
39," Private"," Masters"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," >50K"
