doc_id,text,class
1,[blog] Using Nullmailer and Mandrill for your Ubuntu Linux server outboud mail:  http://bit.ly/ZjHOk7  #plone,APP
2,[blog] Using Postfix and free Mandrill email service for SMTP on Ubuntu Linux server:  http://bit.ly/11HmDZz  #plone,APP
3,@aalbertson There are several reasons emails go to spam. Mind submitting a request at http://help.mandrill.com  with additional details?,APP
4,"@adrienneleigh I just switched it over to Mandrill, let's see if that improve the speed at which the emails are sent.",APP
5,@ankeshk +1 to @mailchimp We use MailChimp for marketing emails and their Mandrill app for txn emails... @sampad @abhijeetmk @hiway,APP
6,@biggoldring That error may occur if unsupported auth method used. Can you email us via http://help.mandrill.com  so we can get details?,APP
7,@BlueHayes mind sending us some details about your account via http://help.mandrill.com  ? Things look correct here but we may need some detail,APP
8,"@cemsisman It can vary, but if sending really low volumes, may not be worth it. Can offer detail - submit request at http://help.mandrill.com ",APP
9,@compactcode Have you checked out Mandrill (@mandrillapp)? It's a transactional email service that runs ... https://longreply.com/r/66c91ea4 ,APP
10,"@devongovett I'm using Mandrill, but been saving issues with some domains getting blocked with no bounce message. Very hard to debug.",APP
11,@devongovett Mandrill seems pretty cheap (by Mailchimp),APP
12,@dzuelke The option to set up the Mandrill integration is only available to the account owner. If you ar... https://longreply.com/r/5c31a7d7 ,APP
13,@dzuelke You should be able to login to the Mandrill account directly by using the same username and pas... https://longreply.com/r/2f58968b ,APP
14,@edocr Can you send an email via http://help.mandrill.com with details about what page is crashing and where you're seeing issues?,APP
15,"@eladlouni Et oui, Mandrill est moins cher, mais idem : ils ne permettent pas de gérer des listes de contact par exemple... @camj59",APP
16,"@eladlouni La raison : Mandrill = Mailchimp, et ils ne veulent pas cannibaliser... @camj59",APP
17,@eladlouni Mandrill = pas de list management par ex. (ils ne veulent pas tuer Mailchimp qui est 30 à 40 fois plus cher ! cc @camj59,APP
18,@Elie__ @camj59 jparle de relai SMTP!1 million de mail chez mandrill / mois comparé à 1 million sur lite sendgrid y a pas photo avec mailjet,APP
19,@Elie__ @camj59 mandrill! Sendgrid! Sans parler d'amazon,APP
20,@EricCandino They're unfortunately not for sale but drop us a line via http://help.mandrill.com  and we'll see what we can find!,APP
21,"@Flo_Rian Not seeing overall sending issues, but we'd want to look at your account - can you submit a request via http://help.mandrill.com  ?",APP
22,@frankioh @sinue mmm no. Mandrill y Sendgrid son + bien p/emails transaccionales. Mailchimp es + bien p/mkt. Admon de listas de dist. y tal.,APP
23,@gidogeek You can see what we've been working on and get a general idea of our plans at http://blog.mandrill.com  Updates posted every Friday!,APP
24,@guillaumepotier There are several reasons emails go to spam. Mind submitting a request at http://help.mandrill.com  with additional details?,APP
25,@icntmx Yep! We'd be glad to. Would you mind submitting a request at http://help.mandrill.com ?,APP
26,"@JeremyWeir If you submit a request at http://help.mandrill.com , we'll get back to you with some ideas and help brainstorm if needed!",APP
27,@josscrowcroft Mind submitting a request via http://help.mandrill.com  with some additional details so we can help troubleshoot?,APP
28,@juanpabloaj Official clients have inline doc info but our support team can help with examples too - submit a request http://help.mandrill.com ,APP
29,@kanonbulle No issues delivering to the Hotmail domain currently. Mind submitting a request at http://help.mandrill.com  w/ account details?,APP
30,"@kennydude @devongovett Yeah, Mandrill is well worth a look.",APP
31,"@kennyfraser Already cleaned up client & delisted IP, but #enginehosting support can share some alternatives like http://mandrill.com  too",APP
32,@khiger вот сервис http://mandrill.com/ ,APP
