city_name,city_code,state_name,state_code,year,region,citypop,citysize,violent,murder,rape,assault,robbery,property,burglary,larceny,auto,sworn,mayor_t,mayor_t1,mayor_t2,mayor_t3,governor_t,governor_t1,governor_t2,governor_t3,c_unemp,c_a15_24,c_black,c_femhea,x_welfare,x_education,x_unemp,x_a15_24,x_black,x_femhea,x_education_sq,x_education_cu,x_education_qu,may_unem
albuquerque,1,nm,31,70,8,245000,1,587.755127,7.755102158,38.77550888,364.4898071,176.7346954,7497.550781,2136.734619,4613.061035,747.755127,151.020401,0,1,0,0,1,0,0,0,0.028969999,0.00174883,NA,NA,157.216507,829.8969727,0.077969998,0.191024274,2.200000048,12.30000019,688729,571574080,4.74348E+11,0
albuquerque,1,nm,31,71,8,254666.6719,2,702.4868774,12.17277431,40.4450264,387.9580994,261.9109802,8607.722656,2447.120361,5379.973633,780.6282349,148.0366516,0,0,1,0,0,1,0,0,0.003509998,0.001640379,0.029999971,-0.11000061,172.8395081,834.5678711,0.081479996,0.192664653,2.230000019,12.18999958,696503.5625,581279488,4.85117E+11,0
albuquerque,1,nm,31,72,8,251200,2,873.0095215,9.156050682,61.30573273,461.3853455,341.1624146,8471.735352,2795.780273,4997.213379,678.7420654,154.8566895,0,0,0,1,0,0,1,0,-0.006819993,0.001541704,0.029999971,-0.109999657,179.425827,846.8899536,0.074660003,0.194206357,2.25999999,12.07999992,717222.5625,607408640,5.14408E+11,0
albuquerque,1,nm,31,73,8,262404,2,862.4106445,10.67056942,64.40450287,440.9231567,346.4124146,7780.75,2645.538818,4516.699219,618.5119019,170.3480072,1,0,0,0,0,0,0,1,-0.000820003,0.001451671,0.029999971,-0.109999657,173.4234314,828.8288574,0.07384,0.195658028,2.289999962,11.97000027,686957.25,569369984,4.7191E+11,-2.60585475
albuquerque,1,nm,31,74,8,278100,2,681.0499878,11.14706898,65.80366516,315.354187,288.7450562,7479.32373,2354.189209,4595.828613,529.3060303,174.7572784,0,1,0,0,1,0,0,0,0.008879997,0.001369298,0.029999971,-0.11000061,160.2434082,778.9046631,0.082719997,0.197027326,2.319999933,11.85999966,606692.5,472555584,3.68076E+11,0
albuquerque,1,nm,31,75,8,286238,2,832.5239868,10.48078918,63.23409271,472.6835632,286.1255188,8010.815918,2722.210205,4793.213867,495.3919373,177.8240509,0,0,1,0,0,1,0,0,0.017460003,0.001293749,0.029999971,-0.109999657,144.9814148,842.0074463,0.10018,0.198321074,2.349999905,11.75,708976.5625,596963520,5.02648E+11,0
albuquerque,1,nm,31,76,8,292265,2,828.015686,9.580347061,63.64087296,456.7772522,298.0172119,8898.088867,2665.389404,5722.546387,510.1534424,169.7089996,0,0,0,1,0,0,1,0,-0.007909998,0.001224279,0.03000021,-0.109999657,145.8699493,871.7047119,0.092270002,0.199545354,2.380000114,11.64000034,759869.125,662381504,5.77401E+11,0
albuquerque,1,nm,31,77,8,292341,2,817.5384521,10.60405445,70.807724,478.2086792,257.9179688,7376.65918,2246.691406,4731.802734,398.1651611,167.9545441,1,0,0,0,0,0,0,1,-0.014740005,0.001160279,0.029999971,-0.11000061,151.8151855,891.0891113,0.077529997,0.200705633,2.410000086,11.52999973,794039.8125,707560192,6.30499E+11,-2.557090282
albuquerque,1,nm,31,78,8,291834,2,834.0357666,12.67844009,64.07752228,519.4733887,237.806427,7001.240234,2121.411377,4423.747559,456.0812073,159.3371582,0,1,0,0,1,0,0,0,-0.020779997,0.001101151,0.029999971,-0.109999657,144.1717834,904.907959,0.05675,0.201806784,2.440000057,11.42000008,818858.4375,740991488,6.70529E+11,0
albuquerque,1,nm,31,79,8,302120,2,886.7337036,15.55673218,71.16377258,530.2528687,269.7603455,8162.981445,2415.596436,5167.813965,579.5710449,156.2293091,0,0,1,0,0,1,0,0,0.009669997,0.001046419,0.029999971,-0.109999657,161.1570282,911.8457031,0.066419996,0.202853203,2.470000029,11.31000042,831462.5625,758165568,6.9133E+11,0
albuquerque,1,nm,31,80,8,328837,2,914.7388916,15.20510197,68.42295837,529.1375122,301.9733276,8003.357422,2457.448486,5111.347168,434.5617981,151.7469177,0,0,0,1,0,0,1,0,0.008250006,0.000995696,0.029999971,-0.11000061,155.3398132,862.8640747,0.074670002,0.203848898,2.5,11.19999981,744534.4375,642432000,5.54331E+11,0
albuquerque,1,nm,31,81,8,336840,2,886.1773682,13.35945892,63.23477173,480.9404907,328.6426697,8202.411133,2693.860596,5042.156738,466.3935547,165.3604126,1,0,0,0,0,0,0,1,-0.002000004,-0.006682754,0.049999952,0.090000153,166.1166229,874.5874634,0.072669998,0.197166145,2.549999952,11.28999996,764903.25,668974784,5.85077E+11,-2.621826649
albuquerque,1,nm,31,82,8,344962,2,770.8095093,7.537062168,57.68751526,437.1495972,268.4353638,7697.949219,2313.29834,4990.114746,394.5362244,163.4962616,0,1,0,0,1,0,0,0,0.019579999,-0.006492972,0.049999952,0.090000153,167.2867279,879.5800171,0.092249997,0.190673172,2.599999905,11.38000011,773661,680496768,5.98551E+11,0
albuquerque,1,nm,31,83,8,355163,2,831.7307739,6.757460594,58.00153732,511.032959,255.9388275,7403.924316,2177.310059,4811.030273,415.5838318,166.6840363,0,0,1,0,0,1,0,0,0.009580001,-0.006311163,0.050000191,0.090000153,159.6972656,908.7705688,0.101829998,0.184362009,2.650000095,11.47000027,825863.9375,750520832,6.82051E+11,0
albuquerque,1,nm,31,84,8,356366,2,1014.406494,7.85709095,58.92818069,606.6796265,340.9416199,7799.004395,2437.381836,4906.472656,455.1500549,173.9784393,0,0,0,1,0,0,1,0,-0.026999995,-0.006136909,0.049999952,0.090000153,162.6604614,902.3943481,0.074830003,0.1782251,2.700000048,11.56000042,814315.5625,734833728,6.6311E+11,0
albuquerque,1,nm,31,85,8,357051,2,1149.695679,11.76302528,66.65714264,722.0256958,349.2498169,8136.932617,2572.741699,5023.091797,541.0991821,180.366394,1,0,0,0,0,0,0,1,0.013749994,-0.005969733,0.049999952,0.089999199,166.6452942,926.1633301,0.088579997,0.172255367,2.75,11.64999962,857778.5,794443008,7.35784E+11,-2.423849106
albuquerque,1,nm,31,86,8,364196,2,1178.486328,13.4542942,67.82062531,754.5387573,342.6726379,8573.405273,2676.031494,5351.51416,545.8599243,187.536377,0,1,0,0,1,0,0,0,0.002840005,-0.005809307,0.049999952,0.090000153,180.3814392,976.036499,0.091420002,0.16644606,2.799999952,11.73999977,952647.25,929818496,9.07537E+11,0
albuquerque,1,nm,31,87,8,371756,2,1034.28064,12.91169453,56.75765991,699.114502,265.4967346,8920.635742,2680.521729,5625.463867,614.6504517,190.9854889,0,0,1,0,0,1,0,0,-0.0035,-0.005655289,0.049999952,0.090000153,193.5913696,887.9312134,0.087920003,0.160790771,2.849999905,11.82999992,788421.8125,700064384,6.21609E+11,0
albuquerque,1,nm,31,88,8,378176,2,1130.426025,12.95693016,50.24115753,821.8395386,245.3883972,9174.828125,2919.804443,5539.748535,715.2754517,192.767395,0,0,0,1,0,0,1,0,-0.009670004,-0.005507305,0.050000191,0.090000153,207.1285858,881.1362305,0.078249998,0.155283466,2.900000095,11.92000008,776401.0625,684115072,6.02799E+11,0
albuquerque,1,nm,31,89,8,384801,2,1220.371094,10.65485764,46.25767517,895.2679443,268.1905823,8744.260742,2513.50708,5631.482422,599.270813,197.5046844,1,0,0,0,0,0,0,1,-0.012170002,-0.005365029,0.049999952,0.090000153,209.6774139,916.9354858,0.066079997,0.149918437,2.950000048,12.01000023,840770.6875,770932480,7.06895E+11,-2.716889143
albuquerque,1,nm,31,90,8,384736,2,1331.042603,8.837228775,57.7019043,996.7874146,267.7160339,8733.260742,2468.445801,5751.996094,512.8191528,206.1153564,0,1,0,0,1,0,0,0,-0.00333,-0.005228236,0.049999952,0.090000153,231.8286133,943.3817749,0.062749997,0.144690201,3,12.10000038,889969.1875,839580672,7.92045E+11,0
