part_id,year,hand_eye,scholarship,treat_a,treat_r,male,sport_code
1191, 2013, 46.2577357181906, 1, 0, 0, 1, 10
1637, 2012, 56.052890118018965, 1, 0, 0, 0, 28
1040, 2013, 58.5846499283106, 1, 0, 1, 1, 10
1231, 2012, 52.755429923530194, 0, 0, 1, 0, 17
1494, 2013, 62.71612919100865, 1, 0, 0, 1, 14
1177, 2013, 67.21952540917594, 1, 0, 0, 0, 20
1351, 2012, 48.143545623392505, 1, 0, 1, 1, 25
1386, 2012, 33.59997217394793, 1, 0, 0, 1, 12
1057, 2013, 58.9625262561079, 1, 0, 1, 0, 27
1499, 2012, 42.609767625696634, 1, 0, 0, 0, 16
1570, 2012, 50.90570226012909, 1, 0, 0, 0, 23
1496, 2013, 41.1012003765144, 1, 0, 0, 1, 21
1303, 2013, 61.811924252278686, 0, 0, 1, 1, 21
1053, 2013, 52.178579532057206, 1, 0, 0, 1, 14
1124, 2012, 69.37618231791737, 1, 0, 0, 1, 20
1178, 2012, 48.5381566230897, 1, 0, 0, 0, 26
1055, 2012, 60.11141491904906, 1, 0, 1, 0, 16
1270, 2012, 41.16305388199848, 0, 0, 0, 1, 22
1136, 2013, 44.8927180040279, 1, 0, 1, 0, 12
1093, 2013, 62.17629511447937, 0, 0, 0, 0, 15
1003, 2012, 59.21458389751855, 1, 0, 0, 1, 20
1479, 2013, 46.60910594007535, 0, 0, 0, 1, 17
1420, 2013, 47.963183042232, 0, 0, 0, 1, 28
1251, 2013, 42.810341344015065, 1, 0, 0, 1, 28
1045, 2012, 46.70314572326636, 1, 0, 0, 0, 15
1483, 2012, 37.575002296327824, 1, 0, 0, 1, 10
1531, 2012, 47.218930632345476, 1, 0, 0, 1, 10
1012, 2013, 46.172298174678296, 1, 0, 1, 0, 16
1163, 2013, 56.121630272302106, 1, 0, 0, 0, 28
1248, 2013, 54.99196388045482, 1, 0, 1, 1, 11
1201, 2012, 56.80051137874151, 1, 0, 0, 1, 19
1054, 2012, 43.99959387808747, 0, 0, 1, 0, 20
1090, 2012, 51.99129149370396, 1, 0, 0, 0, 20
1113, 2012, 29.123826389416752, 1, 0, 0, 1, 17
1096, 2013, 68.5830498817595, 1, 0, 1, 1, 12
1154, 2013, 54.250618723301635, 1, 0, 1, 1, 18
1203, 2013, 52.484436019694805, 1, 0, 1, 0, 19
1514, 2012, 47.22516110314454, 1, 0, 0, 1, 27
1189, 2012, 48.22027601743922, 1, 0, 0, 1, 11
1592, 2013, 73.4014371656504, 1, 0, 1, 1, 19
1352, 2012, 43.397223833946114, 1, 0, 0, 1, 17
1227, 2013, 23.068316057738333, 0, 0, 0, 1, 20
1540, 2012, 64.29408464320933, 1, 0, 1, 0, 20
1241, 2013, 49.14838539766936, 1, 0, 0, 0, 12
1548, 2012, 62.143826906817026, 1, 0, 1, 1, 13
1590, 2012, 44.57276366340755, 1, 0, 0, 1, 12
1028, 2013, 43.78052916628093, 1, 0, 0, 0, 19
1341, 2012, 45.99062437967682, 1, 0, 0, 0, 14
1064, 2012, 68.14160768565827, 1, 0, 0, 1, 19
1528, 2012, 37.668549237034384, 1, 0, 0, 1, 23
1538, 2013, 40.70494116282113, 1, 0, 0, 1, 21
1482, 2013, 24.26320206946209, 1, 0, 0, 0, 22
1331, 2012, 40.456790937681625, 1, 0, 0, 0, 14
1403, 2013, 72.11616987373505, 1, 0, 0, 1, 17
1556, 2013, 63.27107049311127, 0, 0, 0, 0, 28
1157, 2012, 57.21494065168391, 1, 0, 1, 0, 24
1575, 2013, 54.98134758127308, 1, 0, 0, 1, 23
1156, 2013, 62.216278113404044, 1, 0, 1, 0, 17
1491, 2012, 54.41029506721762, 0, 0, 0, 0, 13
1570, 2013, 44.90925079640311, 1, 0, 0, 0, 23
1614, 2012, 51.3433885243981, 0, 0, 0, 1, 23
1460, 2013, 41.071277677560275, 1, 0, 0, 1, 17
1120, 2012, 37.19523849224152, 1, 0, 0, 0, 17
1543, 2012, 44.93323710342578, 1, 0, 0, 1, 24
1188, 2012, 65.45140970895989, 1, 0, 0, 1, 14
1361, 2013, 27.69973557747079, 1, 0, 0, 1, 20
1074, 2012, 47.97122546069516, 0, 0, 0, 1, 15
1228, 2013, 59.460554470843476, 1, 0, 0, 1, 12
1626, 2013, 59.612998688152494, 1, 0, 0, 1, 19
1014, 2012, 47.96099951575286, 1, 0, 0, 1, 27
1414, 2012, 30.63756042908105, 1, 0, 0, 1, 22
1223, 2013, 56.21041008764085, 1, 0, 0, 1, 21
1241, 2012, 51.10484900455451, 1, 0, 0, 0, 12
1409, 2012, 45.94851043678812, 1, 0, 0, 1, 23
1569, 2012, 26.829052666953608, 1, 0, 0, 1, 24
1032, 2013, 55.15024831526237, 1, 0, 1, 0, 28
1252, 2012, 60.61760949805917, 1, 0, 0, 0, 18
1321, 2013, 77.87465022167703, 1, 0, 0, 0, 23
1404, 2012, 51.85213637184431, 1, 0, 0, 1, 26
1049, 2013, 29.045579704598858, 0, 0, 0, 0, 17
1458, 2013, 41.289410737211945, 1, 0, 0, 1, 21
1214, 2013, 69.14661310644107, 1, 0, 1, 1, 13
1105, 2012, 53.24989085147425, 1, 0, 0, 0, 12
1298, 2012, 54.50482975496849, 1, 0, 1, 0, 22
1590, 2013, 47.42415058221424, 1, 0, 0, 1, 12
1171, 2012, 57.66873921536994, 1, 0, 0, 0, 12
1051, 2012, 61.807088244974466, 1, 0, 1, 1, 10
1009, 2013, 61.2333820677504, 1, 0, 0, 0, 20
1180, 2012, 62.89887834117062, 1, 0, 0, 0, 17
1215, 2013, 61.39930547956402, 1, 0, 1, 0, 26
1269, 2013, 62.113685313809114, 0, 0, 0, 1, 26
1378, 2013, 53.94411849360719, 1, 0, 1, 0, 19
1436, 2013, 26.04973361943452, 1, 0, 0, 0, 14
1606, 2013, 53.67118746063073, 0, 0, 0, 0, 25
1277, 2013, 43.73657608503978, 1, 0, 0, 0, 11
1235, 2013, 74.75045291576728, 1, 0, 1, 1, 20
1422, 2012, 40.38317237318187, 1, 0, 0, 1, 10
1432, 2012, 44.37774414977197, 1, 0, 1, 1, 27
1447, 2013, 58.555252640130206, 1, 0, 0, 0, 23
1405, 2013, 68.0740527895841, 1, 0, 1, 1, 26
1516, 2012, 46.572754589113806, 1, 0, 0, 0, 12
1235, 2012, 60.95058958218304, 1, 0, 1, 1, 20
1087, 2012, 56.637631540424756, 1, 0, 1, 1, 13
1482, 2012, 32.91559749853101, 1, 0, 0, 0, 22
1319, 2012, 51.23889608700306, 1, 0, 0, 1, 15
1209, 2012, 27.17545814398175, 1, 0, 0, 0, 24
1106, 2012, 70.55602066442817, 1, 0, 1, 1, 28
1367, 2013, 62.67943469112453, 1, 0, 1, 1, 15
1147, 2012, 49.29030480315388, 1, 0, 0, 1, 10
1234, 2013, 58.31964169488274, 1, 0, 0, 0, 24
1623, 2013, 40.75147324870206, 1, 0, 1, 0, 27
1406, 2012, 58.78896529526183, 1, 0, 1, 1, 15
1401, 2012, 37.66368690657361, 1, 0, 1, 1, 26
1103, 2012, 33.646926675575926, 1, 0, 0, 1, 10
1273, 2013, 71.10139109719192, 1, 0, 1, 0, 23
1068, 2013, 37.059720045120656, 0, 0, 0, 0, 20
1316, 2013, 66.61261741753736, 1, 0, 1, 0, 24
